Seed, tf, trc, s
20861, 106, 36, 1
20862, 96, 50, 1
20863, 106, 40, 1
20864, 94, 38, 1
20865, 96, 30, 1
20866, 102, 52, 1
20867, 108, 42, 1
20868, 108, 44, 1
20869, 90, 38, 1
20870, 98, 44, 1
20871, 110, 54, 1
20872, 88, 36, 1
20873, 92, 42, 1
20874, 104, 38, 1
20875, 88, 32, 1
20876, 100, 38, 1
20877, 92, 30, 1
20878, 90, 34, 1
20879, 104, 44, 1
20880, 92, 42, 1
20881, 92, 34, 1
20882, 90, 38, 1
20883, 88, 36, 1
20884, 96, 38, 1
20885, 108, 42, 1
20886, 86, 32, 1
20887, 98, 40, 1
20888, 102, 38, 1
20889, 98, 28, 1
20890, 112, 48, 1
20891, 92, 32, 1
20892, 98, 34, 1
20893, 96, 48, 1
20894, 104, 60, 1
20895, 104, 34, 1
20896, 94, 40, 1
20897, 86, 30, 1
20898, 86, 44, 1
20899, 88, 34, 1
20900, 92, 36, 1
20901, 100, 38, 1
20902, 98, 40, 1
20903, 88, 38, 1
20904, 86, 32, 1
20905, 100, 36, 1
20906, 94, 38, 1
20907, 88, 42, 1
20908, 108, 40, 1
20909, 92, 48, 1
20910, 100, 44, 1
20911, 104, 42, 1
20912, 94, 42, 1
20913, 104, 38, 1
20914, 102, 40, 1
20915, 100, 46, 1
20916, 86, 44, 1
20917, 104, 44, 1
20918, 92, 32, 1
20919, 102, 44, 1
20920, 90, 40, 1
20921, 90, 28, 1
20922, 96, 38, 1
20923, 90, 36, 1
20924, 94, 42, 1
20925, 104, 46, 1
20926, 106, 36, 1
20927, 94, 42, 1
20928, 100, 52, 1
20929, 88, 28, 1
20930, 92, 38, 1
20931, 96, 46, 1
20932, 90, 52, 1
20933, 82, 38, 1
20934, 88, 38, 1
20935, 94, 32, 1
20936, 98, 40, 1
20937, 84, 30, 1
20938, 90, 28, 1
20939, 130, 58, 1
20940, 98, 44, 1
20941, 94, 40, 1
20942, 110, 44, 1
20943, 94, 32, 1
20944, 98, 36, 1
20945, 92, 32, 1
20946, 114, 42, 1
20947, 90, 32, 1
20948, 120, 50, 1
20949, 106, 42, 1
20950, 90, 40, 1
20951, 100, 36, 1
20952, 90, 32, 1
20953, 114, 54, 1
20954, 106, 34, 1
20955, 88, 36, 1
20956, 90, 44, 1
20957, 90, 44, 1
20958, 96, 36, 1
20959, 94, 26, 1
20960, 98, 50, 1
20961, 100, 52, 1
20962, 94, 40, 1
20963, 104, 40, 1
20964, 108, 52, 1
20965, 96, 30, 1
20966, 98, 44, 1
20967, 92, 40, 1
20968, 92, 38, 1
20969, 100, 34, 1
