Seed, Total Flockability, RC Flockability, Solvability
0,102,38,1
1,80,40,1
2,116,46,1
3,102,36,1
4,92,34,1
5,106,44,1
6,120,50,1
7,96,44,1
8,98,38,1
9,112,52,1
10,102,42,0
11,98,46,1
12,90,34,1
13,98,36,1
14,96,42,1
15,88,28,1
16,92,34,1
17,94,38,1
18,100,48,1
19,80,26,1
20,104,50,1
21,96,48,1
22,102,52,1
23,100,36,1
24,96,44,1
25,92,30,1
26,92,36,1
27,110,46,1
28,98,32,1
29,88,30,1
30,90,40,1
31,116,36,1
32,94,36,1
33,112,42,1
34,100,38,1
35,106,42,1
36,102,38,1
37,98,46,1
38,96,30,1
39,90,38,1
40,102,40,1
41,92,28,1
42,100,42,1
43,90,32,1
44,108,40,1
45,88,24,1
46,92,42,1
47,84,32,1
48,88,34,1
49,102,30,1
50,88,34,1
51,88,42,1
52,102,42,1
53,90,44,1
54,92,52,1
55,86,48,1
56,98,34,1
57,98,32,1
58,92,34,1
59,88,26,1
60,102,32,1
61,102,38,1
62,98,34,1
63,96,32,1
64,104,44,1
65,100,46,1
66,90,42,1
67,92,44,1
68,90,28,1
69,96,32,1
70,92,38,1
71,80,34,1
72,96,40,1
73,98,42,1
74,104,42,1
75,96,36,1
76,104,44,1
77,90,38,1
78,100,38,1
79,94,36,1
80,100,44,1
81,86,36,1
82,104,40,1
83,94,42,1
84,96,36,1
85,92,44,1
86,94,44,1
87,94,32,1
88,112,42,1
89,96,42,1
90,88,40,1
91,84,36,1
92,98,34,1
93,92,32,1
94,96,38,1
95,92,40,1
96,94,40,1
97,96,40,1
98,92,36,1
99,104,44,1
100,100,30,1
101,98,36,1
102,98,32,1
103,108,36,1
104,84,28,1
105,98,42,1
106,88,36,1
107,102,44,1
108,100,34,1
109,98,38,1
110,110,46,1
111,108,32,1
112,102,42,1
113,102,38,1
114,90,38,1
115,90,44,1
116,90,34,1
117,86,36,1
118,98,34,1
119,96,40,1
120,94,26,1
121,92,42,1
122,114,42,1
123,108,52,1
124,102,48,1
125,92,38,1
126,98,36,1
127,98,36,1
128,94,40,1
129,108,32,1
130,82,36,1
131,94,36,1
132,88,32,1
133,92,40,1
134,98,44,1
135,108,40,1
136,88,30,1
137,100,40,1
138,88,36,1
139,100,38,1
140,94,34,1
141,102,36,1
142,104,32,1
143,102,48,1
144,102,44,1
145,88,34,1
146,100,38,1
147,98,44,1
148,100,36,1
149,96,44,1
150,92,36,1
151,88,40,1
152,104,44,1
153,96,40,1
154,90,36,1
155,90,32,1
156,126,46,1
157,106,42,1
158,102,42,1
159,92,40,1
160,110,40,1
161,100,32,1
162,96,30,1
163,88,40,1
164,94,30,1
165,90,30,1
166,98,48,1
167,104,44,1
168,94,36,1
169,106,46,1
170,110,52,1
171,86,26,1
172,96,38,1
173,94,42,1
174,92,32,1
175,104,38,1
176,92,46,1
177,116,40,1
178,88,30,1
179,108,52,1
180,106,36,1
181,92,36,1
182,96,40,1
183,84,30,1
184,92,40,1
185,100,40,1
186,90,38,1
187,96,46,1
188,98,44,1
189,102,40,1
190,98,36,0
191,92,40,1
192,98,50,1
193,108,42,1
194,90,34,1
195,120,42,1
196,94,40,1
197,100,36,1
198,100,40,1
199,102,46,1
200,92,36,1
201,96,40,1
202,98,54,1
203,94,36,1
204,94,38,1
205,100,44,1
206,98,32,1
207,100,42,1
208,102,40,1
209,96,34,1
210,88,38,1
211,94,28,1
212,92,32,1
213,90,36,1
214,98,32,1
215,100,38,1
216,98,28,1
217,92,42,1
218,96,32,1
219,94,42,1
220,104,38,1
221,90,24,1
222,86,38,1
223,106,42,1
224,94,36,1
225,102,38,1
226,96,36,1
227,92,36,1
228,100,44,1
229,104,38,1
230,94,38,1
231,90,36,1
232,98,56,1
233,88,36,1
234,90,46,1
235,86,38,1
236,94,30,1
237,100,48,1
238,90,32,1
239,102,40,1
240,92,40,1
241,92,40,1
242,110,50,1
243,100,36,1
244,100,30,1
245,100,38,1
246,98,38,1
247,96,36,1
248,110,40,1
249,90,44,1
250,96,36,1
251,104,42,1
252,94,34,1
253,102,42,1
254,90,44,1
255,92,28,1
256,90,32,1
257,96,38,1
258,88,38,1
259,100,36,1
260,92,38,1
261,104,42,1
262,90,32,1
263,92,36,1
264,94,42,1
265,92,26,1
